# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
sprcros2||Super Cross II (Japan, set 1)|Driving / Race Bike|GM Shoji|1986|sprcros2|sprcros2
sprglbpg|suprglob|Super Glob (Pac-Man hardware) (German bootleg)||bootleg|1983|suprglob|suprglob
sprglobp|suprglob|Super Glob (Pac-Man hardware)|Platform / Run Jump|Epos Corporation|1983|suprglob|suprglob
springer||Springer|Platform / Run Jump|Orca|1982|springer|springer
sprint1||Sprint 1|Driving / Race Track|Atari (Kee Games)|1978|sprint1|sprint1
sprint2|sprint1|Sprint 2 (set 1)|Driving / Race Track|Atari (Kee Games)|1976|sprint1|sprint1
sprint2a|sprint1|Sprint 2 (set 2)|Driving / Race Track|Atari (Kee Games)|1976|sprint1|sprint1
sprint4||Sprint 4 (set 1)|Driving / Race Track|Atari|1977|sprint4|sprint4
sprint4a|sprint4|Sprint 4 (set 2)|Driving / Race Track|Atari|1977|sprint4|sprint4
sprint8||Sprint 8|Driving / Race Track|Atari|1977|sprint8|sprint8
sprint8a|sprint8|Sprint 8 (play tag & chase)|Driving|Atari|1977|sprint8|sprint8
